"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","yr","mo"
"It's indisputable that having a Democrat in the White House is good for our economy.",FALSE,2824,NA,2015-09-20 00:52:04,FALSE,NA,"645399995932274688",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1123,FALSE,FALSE,NA,NA,2015,9
"Senator Chuck Schumer: Hillary helped “restore the shattered credibility of the United States.” http://t.co/3LTkgRux1L",FALSE,1073,NA,2015-09-19 23:27:01,FALSE,NA,"645378592537509888",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",487,FALSE,FALSE,NA,NA,2015,9
"The hair’s real; the color’s not. Hillary’s impression of Donald Trump on @FallonTonight:
https://t.co/GoyE02ZrOg",FALSE,1686,NA,2015-09-19 22:18:20,FALSE,NA,"645361309089857536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",704,FALSE,FALSE,NA,NA,2015,9
"Cheers to you, @jimmyfallon. Happy birthday! ������ http://t.co/SBMyEfRzWc",FALSE,2563,NA,2015-09-19 19:22:29,FALSE,NA,"645317053172326400",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",866,FALSE,FALSE,NA,NA,2015,9
"Proud to have the support of New Hampshire’s great governor, @Maggie_Hassan. #603forHRC http://t.co/nVS4nIRLHr",FALSE,869,NA,2015-09-19 18:03:12,FALSE,NA,"645297098833948672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",411,FALSE,FALSE,NA,NA,2015,9
"Post-speech dance break at the New Hampshire Democratic Party State Convention. (via @ABCLiz) #603forHRC http://t.co/OTUwgrbXv1",FALSE,1366,NA,2015-09-19 16:18:26,FALSE,NA,"645270736467308544",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",711,FALSE,FALSE,NA,NA,2015,9
"“If you want a president who will listen to you, work her heart out to make your life better—then you’re lookin’ at her.""—Hillary #603forHRC",FALSE,1578,NA,2015-09-19 15:38:21,FALSE,NA,"645260649468071938",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",735,FALSE,FALSE,NA,NA,2015,9
".@BarbaraBoxer on Hillary’s greatest accomplishments, from Iranian sanctions to women’s rights around the world. http://t.co/zfRzOtnsCC",FALSE,1224,NA,2015-09-19 02:16:27,FALSE,NA,"645058842708066304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",701,FALSE,FALSE,NA,NA,2015,9
"A proud step forward. https://t.co/nFR1jcqMj2",FALSE,1717,NA,2015-09-19 01:18:10,FALSE,NA,"645044174383882240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",613,FALSE,FALSE,NA,NA,2015,9
"“That is what I intend to do.” http://t.co/kmydlAenUP",FALSE,822,NA,2015-09-18 23:32:21,FALSE,NA,"645017547251806208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",347,FALSE,FALSE,NA,NA,2015,9
".@DavidAxelrod, former Senior Advisor to President Obama, on Hillary’s greatest accomplishments. http://t.co/mOBPhR741J",FALSE,1033,NA,2015-09-18 22:11:22,FALSE,NA,"644997165748760576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",552,FALSE,FALSE,NA,NA,2015,9
"On selfies, gefilte fish, and of course, Donald Trump, with @jimmyfallon. http://t.co/snnSSlVckr",FALSE,828,NA,2015-09-18 19:53:08,FALSE,NA,"644962377218301952",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",361,FALSE,FALSE,NA,NA,2015,9
